device_id,DeviceType,DeviceInfo,os,browser
lg-m400,mobile,LG-M400 Build/NRD90U,,chrome 62.0 for android
htc6525lvw,mobile,HTC6525LVW,Android 6.0,android webview 4.0
frd-l14,mobile,FRD-L14 Build/HUAWEIFRD-L14,Android 7.0,chrome 63.0 for android
xt1096,mobile,XT1096,Android,chrome 63.0 for android
qwestie8,desktop,QwestIE8,Windows 7,ie 11.0 for desktop
samsung-sm-t817a,mobile,SAMSUNG-SM-T817A,Android 7.0,chrome 63.0 for android
asus,mobile,ASUS,Android 5.1.1,android browser 4.0
lg-m255,mobile,LG-M255,Android 7.0,chrome 61.0 for android
sm-g928f,mobile,SM-G928F,,chrome 63.0 for android
verykools5525,mobile,verykoolS5525,,android webview 4.0
kfsowi,mobile,KFSOWI,Android,chrome generic
sm-n920r4,mobile,SM-N920R4,Android 7.0,chrome 61.0 for android
sm-s550tl,mobile,SM-S550TL,,chrome 62.0 for android
a621r,mobile,A621R,Android 5.1.1,chrome 62.0 for android
samsung_sm-n950f,mobile,SAMSUNG SM-N950F Build/NMF26X,,samsung browser 6.2
lg-h810h81022f,mobile,LG-H810/H81022f,Android 6.0,android webview 4.0
sgh-m919n,mobile,SGH-M919N,Android,chrome 63.0 for android
h1611,mobile,H1611,Android 6.0.1,chrome 63.0 for android
lgl52vl,mobile,LGL52VL Build/LMY47V,Android 5.1.1,other
sm-n920a,mobile,SM-N920A Build/MMB29K,,chrome 61.0 for android
g3223,mobile,G3223 Build/42.0.A.4.101,,chrome 63.0 for android
lg-lk460,mobile,LG-LK460,Android 7.1.1,chrome 62.0 for android
xt1094,mobile,XT1094,Android,chrome 63.0 for android
p5026a,mobile,P5026A,,chrome 63.0 for android
samsung-sm-g530az,mobile,SAMSUNG-SM-G530AZ Build/LMY48B,Android 5.1.1,chrome 61.0 for android
lgls665,mobile,LGLS665 Build/LMY47V,Android 5.1.1,chrome 61.0 for android
samsung_sm-n900t,mobile,SAMSUNG SM-N900T Build/LRX21V,Android 5.0,other
z833,mobile,Z833,Android 6.0.1,chrome 63.0 for android
lg-d850,mobile,LG-D850,Android 6.0,chrome 63.0 for android
d6503,mobile,D6503,,chrome 62.0 for android
samsung_sm-j530gm,mobile,SAMSUNG SM-J530GM Build/NRD90M,,samsung browser 6.2
zte_a2017u,mobile,ZTE A2017U Build/NRD90M,Android 7.0,chrome 63.0 for android
gt-n7100,mobile,GT-N7100,,chrome 63.0 for android
samsung_sm-j710mn,mobile,SAMSUNG SM-J710MN Build/MMB29K,,samsung browser 6.2
sm-p605v,mobile,SM-P605V,,chrome 62.0 for android
rv370,desktop,rv:37.0,,firefox
samsung_sm-g928g,mobile,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2
lenovo_tab_2_a7-30gc,mobile,Lenovo TAB 2 A7-30GC Build/KOT49H,,chrome 55.0 for android
blu_studio_c_55,mobile,BLU STUDIO C 5+5 Build/LRX21M,,chrome 63.0 for android
sm-s975l,mobile,SM-S975L,Android,chrome 63.0 for android
xt1097,mobile,XT1097,,chrome 63.0 for android
0pm92,mobile,0PM92,Android 6.0.1,chrome 56.0 for android
d2306,mobile,D2306,,chrome 63.0 for android
mya-l13,mobile,MYA-L13 Build/HUAWEIMYA-L13,,chrome 52.0 for android
lg-h700,mobile,LG-H700 Build/NRD90U,Android 7.0,chrome 63.0 for android
a50c,mobile,A50C+,,chrome 63.0 for android
samsung_sm-g900m,mobile,SAMSUNG SM-G900M Build/LRX21T,,chrome generic
5095i,mobile,5095I Build/MRA58K,,chrome 63.0 for android
lg-v495,mobile,LG-V495,,chrome 61.0 for android
a1601,mobile,A1601 Build/LMY47I,,chrome 63.0 for android
lgus991,mobile,LGUS991,Android 6.0,chrome 63.0 for android
samsung-sm-t807a,mobile,SAMSUNG-SM-T807A,Android 5.0.2,chrome 61.0 for android
s6000,mobile,S6000,,chrome 63.0 for android
sm-j320vpp,mobile,SM-J320VPP,Android 6.0.1,chrome 62.0 for android
rv529,desktop,rv:52.9,Windows 7,palemoon
samsung_sm-t800,mobile,SAMSUNG SM-T800 Build/MMB29K,Android 6.0.1,samsung browser 6.2
intel,desktop,Intel,Mac OS X 10_6_8,safari
blade_a475,mobile,Blade A475 Build/LMY47D,,chrome 61.0 for android
samsung_sm-g900i,mobile,SAMSUNG SM-G900I Build/MMB29M,,samsung browser 6.2
win64,desktop,Win64,Windows 10,edge 14.0
0pja2,mobile,0PJA2,Android 7.0,chrome 61.0 for android
blu_energy_x_plus,mobile,BLU ENERGY X PLUS Build/LRX21M,,chrome 55.0 for android
5015a,mobile,5015A Build/LMY47I,,chrome 63.0 for android
samsung_sm-j530f,mobile,SAMSUNG SM-J530F Build/NRD90M,,samsung browser 6.2
sm-g900l,mobile,SM-G900L,,chrome 63.0 for android
asus_p00j,mobile,ASUS_P00J,Android 7.0,chrome 63.0 for android
ta-1025,mobile,TA-1025,,chrome 63.0 for android
sm-s327vl,mobile,SM-S327VL,Android 6.0.1,chrome 63.0 for android
a0001,mobile,A0001 Build/MHC19Q,Android 6.0.1,chrome 62.0 for android
gt-i9195l,mobile,GT-I9195L,,chrome 63.0 for android
6039a,mobile,6039A Build/LRX22G,,chrome 63.0 for android
sm-a800i,mobile,SM-A800I,,chrome 63.0 for android
lg-d959,mobile,LG-D959,Android 4.4.2,chrome 62.0 for android
samsung_sm-g930r4,mobile,SAMSUNG SM-G930R4 Build/NRD90M,Android 7.0,samsung browser 6.2
lgl83bl,mobile,LGL83BL,Android 7.0,chrome 63.0 for android
sm-g928p,mobile,SM-G928P,Android 5.1.1,chrome 62.0 for android
c6906,mobile,C6906 Build/14.6.A.1.236,,chrome 63.0 for android
k92,mobile,K92,Android 7.1.1,chrome 62.0 for android
k90u,mobile,K90U,Android 6.0.1,chrome 63.0 for android
boie9,desktop,BOIE9,Windows 7,ie 11.0 for desktop
lg-ls995,mobile,LG-LS995,Android 4.4.2,chrome 63.0 for android
lgus990,mobile,LGUS990,Android 4.4.2,chrome 63.0 for android
sm-g935u,mobile,SM-G935U,Android 7.0,chrome 63.0 for android
xt1021,mobile,XT1021 Build/KXC21.5-40,,chrome 57.0 for android
kiw-l24,mobile,KIW-L24,Android 6.0.1,chrome 63.0 for android
sm-t377t,mobile,SM-T377T,Android 7.1.1,chrome 61.0 for android
rv430,desktop,rv:43.0,,firefox
lg-d320,mobile,LG-D320 Build/KOT49I.V10a,,chrome 63.0 for android
alcatel_5044r,mobile,Alcatel_5044R Build/NRD90M,Android 7.0,chrome 63.0 for android
samsung-sm-n910a,mobile,SAMSUNG-SM-N910A,Android,chrome 63.0 for android
htc6500lvw,mobile,HTC6500LVW,Android 5.0.2,chrome generic
rs988,mobile,RS988,Android 7.0,chrome 63.0 for android
lg-h931,mobile,LG-H931,Android 7.1.2,firefox
rct6s03w12,mobile,RCT6S03W12,Android 7.0,chrome 62.0 for android
sm-t807t,mobile,SM-T807T,Android 4.4.2,chrome 63.0 for android
cam-l23,mobile,CAM-L23,,chrome 63.0 for android
sm-t817t,mobile,SM-T817T,Android 7.0,chrome 63.0 for android
sm-j727p,mobile,SM-J727P,,chrome 63.0 for android
sm-g550t2,mobile,SM-G550T2,Android 6.0.1,chrome 56.0 for android
vs985,mobile,VS985,Android 6.0,chrome 63.0 for android
lg-h815,mobile,LG-H815 Build/MRA58K,,chrome 63.0 for android
samsung_sm-j320m,mobile,SAMSUNG SM-J320M Build/LMY47V,,chrome generic
bba100-1,mobile,BBA100-1,Android 6.0.1,chrome 63.0 for android
831c,mobile,831C,Android 6.0,chrome 63.0 for android
alcatel_one_touch_7047a,mobile,ALCATEL ONE TOUCH 7047A Build/JDQ39,,chrome 58.0 for android
sm-e700m,mobile,SM-E700M,,chrome 62.0 for android
z831,mobile,Z831,Android 6.0.1,chrome 59.0 for android
gt-p3100,mobile,GT-P3100,,chrome generic for android
asus_z00ud,mobile,ASUS_Z00UD,,android webview 4.0
sm-n900p,mobile,SM-N900P Build/LRX21V,Android 5.0,chrome 43.0 for android
lg-v700,mobile,LG-V700,,chrome 52.0 for android
samsung_sm-j700t1,mobile,SAMSUNG SM-J700T1 Build/NMF26X,Android 7.1.1,samsung browser 6.2
p008,mobile,P008 Build/NRD90M,Android 7.0,chrome 63.0 for android
oneplus,mobile,ONEPLUS,Android 7.1.1,chrome 59.0 for android
sm-g800m,mobile,SM-G800M Build/KOT49H,,chrome 63.0 for android
bbb100-2,mobile,BBB100-2,Android 7.1.1,chrome 63.0 for android
sm-s727vl,mobile,SM-S727VL Build/MMB29M,Android 6.0.1,chrome 63.0 for android
one,mobile,ONE,,chrome 63.0 for android
d5106,mobile,D5106,,chrome 62.0 for android
lgl84vl,mobile,LGL84VL Build/NRD90U,Android 7.0,chrome 63.0 for android
ta-1028,mobile,TA-1028 Build/NMF26O,,chrome 63.0 for android
yoga,mobile,YOGA,Android,chrome 49.0 for android
d5316,mobile,D5316,,chrome 62.0 for android
sph-l720,mobile,SPH-L720,Android,chrome 62.0 for android
sm-n915v,mobile,SM-N915V,,chrome 57.0 for android
0paj5,mobile,0PAJ5,Android 6.0.1,chrome 63.0 for android
rct6513w87,mobile,RCT6513W87 Build/MRA58K,Android 6.0,chrome 63.0 for android
sm-g720ax,mobile,SM-G720AX,,chrome 63.0 for android
6045i,mobile,6045I Build/LRX22G,,chrome 58.0 for android
e2006,mobile,E2006,,chrome 62.0 for android
bbb100-1,mobile,BBB100-1,Android 7.1.1,chrome 63.0 for android
gt-i9060l,mobile,GT-I9060L Build/JDQ39,,chrome 62.0 for android
sm-t530,mobile,SM-T530,,chrome 63.0 for android
infinit,mobile,Infinit,,chrome 63.0 for android
sm-j110m,mobile,SM-J110M Build/LMY48B,,chrome 62.0 for android
lg-d213,mobile,LG-D213,,chrome 61.0 for android
lava_a3,mobile,LAVA_A3,,chrome 63.0 for android
gt-s7390,mobile,GT-S7390,,chrome 59.0 for android
alcatel_5054o,mobile,Alcatel_5054O,Android 5.1.1,chrome 63.0 for android
lenovo_yt3-x50f,mobile,Lenovo YT3-X50F Build/MMB29M,,chrome 63.0 for android
ilium_l620,mobile,Ilium L620 Build/NRD90M,,chrome 63.0 for android
sm-n910p,mobile,SM-N910P,Android 6.0.1,chrome 63.0 for android
lenovo_pb2-650y,mobile,Lenovo PB2-650Y Build/MRA58K,,chrome 62.0 for android
sm-g9250,mobile,SM-G9250,,chrome 63.0 for android
sm-n920c,mobile,SM-N920C Build/NRD90M,,chrome 63.0 for android
sm-j710gn,mobile,SM-J710GN,Android 7.0,chrome 63.0 for android
sm-a500w,mobile,SM-A500W,,chrome 63.0 for android
nexus_6,mobile,Nexus 6 Build/N6F27M,Android 7.1.1,chrome 63.0 for android
m4_ss4452,mobile,M4 SS4452 Build/LMY47V,,chrome 46.0 for android
sm-t110,mobile,SM-T110 Build/JDQ39,Android,chrome generic
neffos_c5,mobile,Neffos C5 Build/LMY47D,,chrome 63.0 for android
ta-1044,mobile,TA-1044 Build/NMF26F,,chrome 63.0 for android
astro,mobile,ASTRO,,chrome 63.0 for android
samsung-sm-j320az,mobile,SAMSUNG-SM-J320AZ,Android 7.1.1,chrome 63.0 for android
bg2-w09,mobile,BG2-W09,,chrome 63.0 for android
sm-j700h,mobile,SM-J700H Build/MMB29K,,chrome 63.0 for android
gt-p5110,mobile,GT-P5110,,chrome generic for android
asus_z01kd,mobile,ASUS_Z01KD,Android 7.1.1,chrome 63.0 for android
lg-k330,mobile,LG-K330,Android 5.1.1,chrome 52.0 for android
sm-j530f,mobile,SM-J530F Build/NRD90M,,chrome 63.0 for android
lg-h525n,mobile,LG-H525n Build/MRA58K,,chrome 61.0 for android
p5006a,mobile,P5006A,,chrome 62.0 for android
samsung_sm-j510mn,mobile,SAMSUNG SM-J510MN Build/MMB29M,,samsung browser 6.2
iris_870,mobile,iris 870 Build/MRA58K,,android webview 4.0
lg-h932,mobile,LG-H932,Android 7.1.2,chrome 60.0 for android
sm-t705,mobile,SM-T705,,chrome 63.0 for android
samsung_sm-j120h,mobile,SAMSUNG SM-J120H Build/LMY47V,,chrome generic
7048a,mobile,7048A Build/LRX22G,,chrome 46.0 for android
4013m,mobile,4013M Build/KOT49H,,chrome
stv100-1,mobile,STV100-1,,chrome 63.0 for android
lg-e450f,mobile,LG-E450f,,chrome 62.0 for android
lg-h960,mobile,LG-H960,,chrome 63.0 for android
gxq6580_weg_l,mobile,gxq6580_weg_l Build/LMY47I,,chrome 63.0 for android
beat,mobile,Beat,Android,android browser 4.0
vk700,mobile,VK700 Build/LRX22G,Android 5.0.2,chrome 53.0 for android
eva-l19,mobile,EVA-L19 Build/HUAWEIEVA-L19,,chrome 63.0 for android
lgl57bl,mobile,LGL57BL,Android 6.0.1,chrome 63.0 for android
xt1023,mobile,XT1023,,chrome 51.0 for android
sm-g900t1,mobile,SM-G900T1,,chrome 63.0 for android
neffos_x1_max,mobile,Neffos X1 Max Build/NRD90M,,chrome 63.0 for android
m4_ss4458,mobile,M4 SS4458 Build/MMB29M,,chrome 63.0 for android
a96,mobile,A96 Build/LMY47I,,chrome 61.0 for android
lenovo_tb3-710i,mobile,Lenovo TB3-710I Build/LMY47I,,chrome 63.0 for android
sm-a520w,mobile,SM-A520W Build/NRD90M,,chrome 63.0 for android
e2104,mobile,E2104,,chrome 63.0 for android
samsung_sm-g800f,mobile,SAMSUNG SM-G800F Build/MMB29K,,samsung browser 6.2
was-lx1a,mobile,WAS-LX1A Build/HUAWEIWAS-LX1A,,chrome 63.0 for android
alcatel_5098o,mobile,Alcatel_5098O Build/MMB29M,,chrome 63.0 for android
blade_a465,mobile,Blade A465 Build/LMY47D,,chrome 61.0 for android
ilium_x520,mobile,Ilium X520 Build/NRD90M,,chrome 60.0 for android
sla-l02,mobile,SLA-L02,,chrome 63.0 for android
rv290,desktop,rv:29.0,,firefox
lg-h735,mobile,LG-H735 Build/LMY47V,,chrome 63.0 for android
max,mobile,Max,,android webview 4.0
g620s-l03,mobile,G620S-L03,,chrome 63.0 for android
sm-g318ml,mobile,SM-G318ML,,chrome 60.0 for android
samsung_sm-a320y,mobile,SAMSUNG SM-A320Y Build/NRD90M,,samsung browser 6.2
sm-t320,mobile,SM-T320 Build/KOT49H,,chrome 55.0 for android
f1f,mobile,F1f Build/LMY47V,,chrome 63.0 for android
huawei_lua-u23,mobile,HUAWEI LUA-U23 Build/HUAWEILUA-U23,,chrome 63.0 for android
lg-h343,mobile,LG-H343,Android 5.1.1,chrome 58.0 for android
lgms323,mobile,LGMS323,,chrome generic
verykools5004,mobile,verykools5004,,chrome
u,mobile,U,,chrome 63.0 for android
htc_d10i,mobile,HTC_D10i,,
ta-1027,mobile,TA-1027 Build/N2G47H,,chrome 63.0 for android
vtr-l29,mobile,VTR-L29,,chrome 63.0 for android
iris_820,mobile,iris 820 Build/MRA58K,,android webview 4.0
wileyfox,mobile,Wileyfox,,chrome 63.0 for android
lg-h340ar,mobile,LG-H340AR,,chrome 63.0 for android
ilium_l610,mobile,Ilium L610 Build/MRA58K,,chrome 63.0 for android
ideatab,mobile,IdeaTab,,chrome 63.0 for android
a9,mobile,A9,,android webview 4.0
iphone,mobile,iPhone,,chrome 63.0 for android
blade_l3,mobile,Blade L3 Build/KOT49H,,chrome 61.0 for android
zte_blade_a512,mobile,ZTE BLADE A512 Build/MMB29M,,chrome 63.0 for android
4047a,mobile,4047A Build/NRD90M,,chrome 56.0 for android
n9136,mobile,N9136,Android 6.0.1,chrome 63.0 for android
dt0704k08,mobile,DT0704K08,,chrome 63.0 for android
hisense,mobile,Hisense,,chrome 63.0 for android
sm-g920r4,mobile,SM-G920R4,Android 7.0,chrome 63.0 for android
a466bg,mobile,A466BG,Android 6.0,android webview 4.0
nem-l51,mobile,NEM-L51 Build/HONORNEM-L51,,chrome 63.0 for android
4047g,mobile,4047G Build/NRD90M,,chrome 62.0 for android
mi,mobile,MI,,chrome 63.0 for android
alcatel_one_touch_5036a,mobile,ALCATEL ONE TOUCH 5036A Build/JDQ39,,chrome 58.0 for android
lg-k420,mobile,LG-K420,,chrome 59.0 for android
sm-a300fu,mobile,SM-A300FU Build/MMB29M,,chrome 63.0 for android
1016s,mobile,1016S,,chrome generic
lenovo_tb3-710f,mobile,Lenovo TB3-710F Build/LRX21M,,chrome 46.0 for android
sgp621,mobile,SGP621 Build/23.5.A.1.291,,chrome 63.0 for android
lg-v520,mobile,LG-V520,Android 6.0.1,chrome 63.0 for android
asus_x008dc,mobile,ASUS_X008DC Build/NRD90M,,chrome 63.0 for android
asus_z01bda,mobile,ASUS_Z01BDA,,chrome 63.0 for android
alcatel_one_touch_7042a,mobile,ALCATEL ONE TOUCH 7042A Build/JDQ39,,chrome
archos,mobile,Archos,,chrome 63.0 for android
rct6773w22b,mobile,RCT6773W22B,,chrome 63.0 for android
f80_piabella,mobile,F80 PIABELLA Build/MRA58K,,chrome 63.0 for android
samsung_sm-a510f,mobile,SAMSUNG SM-A510F Build/NRD90M,,samsung browser 6.2
sm-j320w8,mobile,SM-J320W8,,chrome 63.0 for android
grand2c,mobile,Grand2c,,android webview 4.0
lg-d625,mobile,LG-D625,,chrome 62.0 for android
ftj152d,mobile,FTJ152D,,chrome 63.0 for android
z799vl,mobile,Z799VL,Android 6.0.1,chrome
bba100-2,mobile,BBA100-2,,chrome 63.0 for android
sm-j710f,mobile,SM-J710F Build/NRD90M,,chrome 63.0 for android
ht0701a16,mobile,HT0701A16,,chrome 50.0 for android
ego,mobile,EGO,,chrome 63.0 for android
samsung_sm-g920i,mobile,SAMSUNG SM-G920I Build/NRD90M,,samsung browser 6.2
sm-g903f,mobile,SM-G903F Build/MMB29K,,chrome 63.0 for android
asus_x00dd,mobile,ASUS_X00DD,,chrome 63.0 for android
aquaris_u_plus,mobile,Aquaris U Plus Build/NMF26F,,chrome 63.0 for android
robin,mobile,Robin,,chrome 63.0 for android
verykools5035,mobile,verykools5035,,chrome 63.0 for android
icon,mobile,ICON,,chrome 60.0 for android
xt1680,mobile,XT1680,,chrome 63.0 for android
one_a2003,mobile,ONE A2003 Build/MMB29M,,chrome 63.0 for android
verykools4009,mobile,verykools4009,,chrome 62.0 for android
z839,mobile,Z839,Android 7.1.1,chrome 63.0 for android
5085b,mobile,5085B Build/MRA58K,,chrome 63.0 for android
s60,mobile,S60 Build/MMB29M,,chrome 63.0 for android
asus_z00ad,mobile,ASUS_Z00AD Build/LRX21V,,chrome 63.0 for android
huawei_gra-l09,mobile,HUAWEI GRA-L09 Build/HUAWEIGRA-L09,,chrome 63.0 for android
xt1092,mobile,XT1092,,chrome 63.0 for android
huawei_lyo-l21,mobile,HUAWEI LYO-L21 Build/HUAWEILYO-L21,,chrome 63.0 for android
playtab,mobile,PLAYTAB,,chrome 55.0 for android
tab2a7-10f,mobile,Tab2A7-10F,,chrome 63.0 for android
vky-l09,mobile,VKY-L09 Build/HUAWEIVKY-L09,,chrome 63.0 for android
u_feel_lite,mobile,U FEEL LITE Build/MRA58K,,chrome 63.0 for android
e5823,mobile,E5823 Build/32.4.A.1.54,,chrome 63.0 for android
n817,mobile,N817,Android,chrome 63.0 for android
joy,mobile,Joy,,android webview 4.0
was-l03t,mobile,WAS-L03T Build/HUAWEIWAS-L03T,,chrome 63.0 for android
tornado,mobile,Tornado,,chrome 62.0 for android
sm-t825,mobile,SM-T825 Build/NRD90M,,chrome 63.0 for android
sm-g390w,mobile,SM-G390W,,chrome 63.0 for android
samsung_sm-j500fn,mobile,SAMSUNG SM-J500FN Build/MMB29M,,samsung browser 6.2
gt-i9195i,mobile,GT-I9195I,,chrome 63.0 for android
asus_x015d,mobile,ASUS_X015D Build/NRD90M,,chrome 63.0 for android
ideataba1000-f,mobile,IdeaTabA1000-F,,chrome 61.0 for android
lm-x210g,mobile,LM-X210(G,Android 7.1.2,chrome generic
alter,mobile,ALTER,,chrome 63.0 for android
sm-g390f,mobile,SM-G390F,,chrome 63.0 for android
a37f,mobile,A37f,,chrome 63.0 for android
tab7,mobile,TAB7,,chrome generic
lgls675,mobile,LGLS675 Build/LMY47V,Android 5.1.1,chrome 59.0 for android
ilium_l950,mobile,Ilium L950 Build/KTU84P,,chrome 63.0 for android
rv590,desktop,rv:59.0,,firefox generic
e6633,mobile,E6633,,chrome 63.0 for android
lg-h831,mobile,LG-H831 Build/NRD90U,,chrome 63.0 for android
sm-t555,mobile,SM-T555,,chrome 63.0 for android
trt-lx3,mobile,TRT-LX3,,chrome 63.0 for android
highway,mobile,HIGHWAY,,chrome 63.0 for android
verykools5034,mobile,verykools5034,,chrome 63.0 for android
rct6203w46,mobile,RCT6203W46 Build/KOT49H,Android 4.4.2,chrome 52.0 for android
samsung_sm-j320fn,mobile,SAMSUNG SM-J320FN Build/LMY47V,,other
gt-n8000,mobile,GT-N8000,,chrome 63.0 for android
samsung_sm-n900w8,mobile,SAMSUNG SM-N900W8 Build/LRX21V,,chrome generic
mobiistar_lai_yuna_x,mobile,Mobiistar_LAI_Yuna_X,,android webview 4.0
iris80,mobile,iris80,,chrome 62.0 for android
gt-i9505,mobile,GT-I9505 Build/LRX22C,,chrome 53.0 for android
vtr-l09,mobile,VTR-L09 Build/HUAWEIVTR-L09,,chrome generic for android
bnd-l21,mobile,BND-L21 Build/HONORBND-L21,,chrome 63.0 for android
nexus_5x,mobile,Nexus 5X Build/OPM3.171019.013,Android 8.1.0,chrome 63.0 for android
samsung_sm-a320fl,mobile,SAMSUNG SM-A320FL Build/NRD90M,,samsung browser 6.2
lg-d802,mobile,LG-D802,,chrome 63.0 for android
lg-d722,mobile,LG-D722,,chrome 61.0 for android
sla-l22,mobile,SLA-L22,,chrome 63.0 for android
lglk430,mobile,LGLK430,Android,chrome generic
t1,mobile,T1,,chrome 63.0 for android
tr10cs1,mobile,TR10CS1 Build/JDQ39,,chrome 63.0 for android
redmi_3s,mobile,Redmi 3S Build/MMB29M,,chrome generic for android
e2303,mobile,E2303,,chrome 63.0 for android
sm-g531f,mobile,SM-G531F,,chrome 50.0 for android
e8qp,mobile,E8QP,,chrome generic
lgl41c,mobile,LGL41C,Android 4.4.2,chrome 63.0 for android
grand,mobile,Grand,,chrome 56.0 for android
sm-g903m,mobile,SM-G903M,,chrome 60.0 for android
9022x,mobile,9022X,,chrome 63.0 for android
alp-l09,mobile,ALP-L09 Build/HUAWEIALP-L09,,chrome generic for android
sm-g850m,mobile,SM-G850M Build/LRX22G,,chrome 63.0 for android
lg-f400k,mobile,LG-F400K,,chrome generic
rct6223w87,mobile,RCT6223W87,,chrome generic for android
9002a,mobile,9002A,,chrome 63.0 for android
covet,mobile,COVET Build/NRD90M,,android webview 4.0
sm-j120fn,mobile,SM-J120FN Build/LMY47X,,chrome 63.0 for android
rne-l03,mobile,RNE-L03 Build/HUAWEIRNE-L03,,chrome 63.0 for android
me301t,mobile,ME301T,,chrome 63.0 for android
sgh-m919,mobile,SGH-M919 Build/KTU84P,Android,chrome 63.0 for android
sm-g530w,mobile,SM-G530W,,chrome 63.0 for android
ax921,mobile,AX921 Build/MRA58K,,chrome 63.0 for android
sm-n910f,mobile,SM-N910F Build/MMB29M,,chrome 64.0 for android
zte_blade_a511,mobile,ZTE Blade A511 Build/MRA58K,,chrome 63.0 for android
ilium_l1000,mobile,Ilium L1000 Build/LRX22G,,chrome 64.0 for android
kyy22,mobile,KYY22,,chrome 63.0 for android
asus_z017d,mobile,ASUS_Z017D,,chrome 64.0 for android
lg-h870ds,mobile,LG-H870DS Build/NRD90U,,chrome 64.0 for android
lgls755,mobile,LGLS755,,chrome 63.0 for android
stellar,mobile,Stellar,,chrome 61.0 for android
gt-i9515,mobile,GT-I9515,,chrome 63.0 for android
frd-l09,mobile,FRD-L09 Build/HUAWEIFRD-L09,,chrome 64.0 for android
ax1070,mobile,AX1070,,chrome 63.0 for android
samsung_sm-t550,mobile,SAMSUNG SM-T550 Build/NMF26X,,samsung browser 6.2
sens,mobile,SENS,,android webview 4.0
vt0701a08,mobile,VT0701A08,,chrome 64.0 for android
duk-al20,mobile,DUK-AL20,,chrome 62.0 for android
lenovo_pb2-670y,mobile,Lenovo PB2-670Y Build/MRA58K,,chrome 64.0 for android
sm-j510f,mobile,SM-J510F,,chrome 64.0 for android
sm-j330fn,mobile,SM-J330FN Build/NRD90M,,chrome 64.0 for android
htc_desire_526g,mobile,HTC Desire 526G Build/KOT49H,,chrome 63.0 for android
sm-j330f,mobile,SM-J330F,,chrome 64.0 for android
4003a,mobile,4003A,,chrome 53.0 for android
rv600,desktop,rv:60.0,,firefox generic
htc_one_m8s2121,mobile,HTC_One_M8s/2.12.111.1,,
z832,mobile,Z832 Build/MMB29M,Android 6.0.1,chrome 46.0 for android
cph1701,mobile,CPH1701,,chrome 64.0 for android
a952,mobile,A952,,android webview 4.0
e5306,mobile,E5306 Build/27.3.A.0.165,,chrome 64.0 for android
z9_plus,mobile,Z9 PLUS Build/NRD90M,,chrome 63.0 for android
dash,mobile,Dash,,chrome 61.0 for android
nx521j,mobile,NX521J,,chrome 64.0 for android
916,mobile,916,,chrome 59.0 for android
4034g,mobile,4034G,,chrome 64.0 for android
gravity,mobile,Gravity Build/NRD90M,,chrome 58.0 for android
plus,mobile,PLUS,,chrome 63.0 for android
sm-n910t3,mobile,SM-N910T3,,chrome 63.0 for android
9203a,mobile,9203A Build/MRA58K,,chrome 49.0 for android
mha-l29,mobile,MHA-L29 Build/HUAWEIMHA-L29,,chrome 64.0 for android
pe-tl10,mobile,PE-TL10,,chrome 64.0 for android
z2,mobile,Z2,,android webview 4.0
sgh-m919v,mobile,SGH-M919V,,chrome 64.0 for android
tmovi,mobile,Tmovi Build/Vision,,chrome 64.0 for android
xt1068,mobile,XT1068,,chrome 64.0 for android
advance,mobile,Advance,,chrome 56.0 for android
sm-g360f,mobile,SM-G360F,,chrome 63.0 for android
plk-l01,mobile,PLK-L01 Build/HONORPLK-L01,,chrome 61.0 for android
za409,mobile,ZA409,,android browser 4.0
energy_x_2,mobile,Energy X 2 Build/E050L,,chrome 64.0 for android
gt-i8200n,mobile,GT-I8200N,,chrome 64.0 for android
hisense_f102,mobile,Hisense F102 Build/NRD90M,,chrome 64.0 for android
5017a,mobile,5017A,,chrome 64.0 for android
b1-810,mobile,B1-810,,chrome 61.0 for android
stv100-4,mobile,STV100-4 Build/LMY47V,,chrome 64.0 for android
ta-1004,mobile,TA-1004,,
sm-g313ml,mobile,SM-G313ML,,other
sm-g530m,mobile,SM-G530M,,chrome 64.0 for android
lg-e980h,mobile,LG-E980h,,chrome 64.0 for android
bah-l09,mobile,BAH-L09 Build/HUAWEIBAH-L09,,chrome 64.0 for android
dli-l22,mobile,DLI-L22 Build/HONORDLI-L22,,chrome 64.0 for android
sm-g388f,mobile,SM-G388F,,chrome 64.0 for android
htcd160lvwpp,mobile,HTCD160LVWPP,,chrome 64.0 for android
htc_one_mini,desktop,HTC One mini Build/KOT49H,,chrome generic
sm-n9500,mobile,SM-N9500,,chrome 64.0 for android
samsung-sgh-i537,mobile,SAMSUNG-SGH-I537,,chrome 64.0 for android
5042a,mobile,5042A,,chrome 64.0 for android
sm-g903w,mobile,SM-G903W,,chrome 64.0 for android
bln-l21,mobile,BLN-L21 Build/HONORBLN-L21,,chrome 64.0 for android
sm-g730v,mobile,SM-G730V,,chrome 61.0 for android
alumini,mobile,ALUMINI,,chrome 43.0 for android
9008a,mobile,9008A Build/NRD90M,,chrome 55.0 for android
ideataba2109a,mobile,IdeaTabA2109A,,chrome 63.0 for android
lg-m710,mobile,LG-M710 Build/NRD90U,,chrome 64.0 for android
lg-h520,mobile,LG-H520,,chrome 64.0 for android
aquaris_a45,mobile,Aquaris_A4.5,,chrome 63.0 for android
sm-j500g,mobile,SM-J500G,,chrome 55.0 for android
hisense_t963,mobile,Hisense T963 Build/MRA58K,,chrome 64.0 for android
